2021-01-26 09:14:19.206 INFO  [22324] Logger 0 Initialized
2021-01-26 09:14:58.180 INFO  [22232] Logger 0 Initialized
2021-01-26 09:15:40.781 INFO  [22220] Logger 0 Initialized
2021-01-26 09:17:37.471 INFO  [3184] Logger 0 Initialized
2021-01-26 09:21:41.789 INFO  [24484] Logger 0 Initialized
2021-01-31 20:08:53.062 INFO  [25848] Logger 0 Initialized
2021-01-31 20:23:24.526 INFO  [18652] Logger 0 Initialized
2021-01-31 20:24:32.428 INFO  [22524] Logger 0 Initialized
2021-01-31 20:29:13.430 INFO  [2704] Logger 0 Initialized
2021-01-31 20:48:46.289 INFO  [21736] Logger 0 Initialized
2021-01-31 20:50:57.462 INFO  [22388] Logger 0 Initialized
2021-01-31 20:52:19.679 INFO  [14228] Logger 0 Initialized
2021-01-31 20:53:03.788 INFO  [16692] Logger 0 Initialized
2021-01-31 20:57:51.939 INFO  [4340] Logger 0 Initialized
2021-01-31 20:59:40.838 INFO  [17224] Logger 0 Initialized
2021-01-31 21:05:12.618 INFO  [11796] Logger 0 Initialized
2021-01-31 21:06:26.710 INFO  [3808] Logger 0 Initialized
2021-01-31 22:00:09.452 INFO  [21288] Logger 0 Initialized
2021-01-31 22:05:31.401 INFO  [11928] Logger 0 Initialized
2021-01-31 22:08:33.842 INFO  [20948] Logger 0 Initialized
2021-01-31 22:09:05.638 INFO  [15144] Logger 0 Initialized
2021-01-31 22:09:30.172 INFO  [2700] Logger 0 Initialized
2021-01-31 22:09:53.318 INFO  [2496] Logger 0 Initialized
2021-01-31 22:11:04.105 INFO  [15312] Logger 0 Initialized
2021-01-31 22:12:48.651 INFO  [7188] Logger 0 Initialized
2021-01-31 22:14:12.234 INFO  [9492] Logger 0 Initialized
2021-01-31 22:15:22.929 INFO  [2104] Logger 0 Initialized
2021-01-31 22:16:00.958 INFO  [4756] Logger 0 Initialized
2021-01-31 22:17:10.158 INFO  [10904] Logger 0 Initialized
2021-01-31 22:18:08.801 INFO  [9956] Logger 0 Initialized
2021-01-31 22:18:33.890 INFO  [17648] Logger 0 Initialized
2021-01-31 22:19:38.191 INFO  [17664] Logger 0 Initialized
2021-01-31 22:20:33.464 INFO  [21656] Logger 0 Initialized
2021-01-31 22:20:54.483 INFO  [3180] Logger 0 Initialized
2021-01-31 22:22:09.757 INFO  [1488] Logger 0 Initialized
2021-01-31 22:22:32.068 INFO  [13868] Logger 0 Initialized
2021-01-31 22:22:59.657 INFO  [10636] Logger 0 Initialized
2021-01-31 22:23:37.687 INFO  [21908] Logger 0 Initialized
2021-01-31 22:23:48.060 INFO  [7280] Logger 0 Initialized
2021-01-31 22:24:04.697 INFO  [9588] Logger 0 Initialized
2021-01-31 22:24:22.640 INFO  [3964] Logger 0 Initialized
2021-01-31 22:24:25.787 INFO  [1496] Logger 0 Initialized
2021-01-31 22:24:37.527 INFO  [3032] Logger 0 Initialized
2021-01-31 22:26:15.449 INFO  [2168] Logger 0 Initialized
2021-01-31 22:26:39.618 INFO  [21672] Logger 0 Initialized
2021-01-31 22:27:15.448 INFO  [20272] Logger 0 Initialized
2021-01-31 22:27:49.023 INFO  [13776] Logger 0 Initialized
2021-01-31 22:29:34.855 INFO  [11732] Logger 0 Initialized
2021-01-31 22:30:28.527 INFO  [4892] Logger 0 Initialized
2021-01-31 22:30:46.304 INFO  [5332] Logger 0 Initialized
2021-01-31 22:31:01.397 INFO  [12356] Logger 0 Initialized
2021-01-31 22:31:46.841 INFO  [16076] Logger 0 Initialized
2021-01-31 22:32:26.569 INFO  [11424] Logger 0 Initialized
2021-01-31 22:33:01.423 INFO  [10568] Logger 0 Initialized
2021-01-31 22:33:06.008 INFO  [8524] Logger 0 Initialized
2021-01-31 22:33:21.570 INFO  [1748] Logger 0 Initialized
2021-01-31 22:33:38.704 INFO  [22428] Logger 0 Initialized
2021-01-31 22:34:01.986 INFO  [1468] Logger 0 Initialized
2021-01-31 22:34:42.012 INFO  [4920] Logger 0 Initialized
2021-01-31 22:36:07.151 INFO  [15284] Logger 0 Initialized
2021-01-31 22:36:19.422 INFO  [8060] Logger 0 Initialized
2021-01-31 22:36:47.547 INFO  [6772] Logger 0 Initialized
2021-01-31 22:37:55.860 INFO  [10564] Logger 0 Initialized
2021-01-31 22:38:22.936 INFO  [13048] Logger 0 Initialized
2021-01-31 22:38:34.062 INFO  [16212] Logger 0 Initialized
2021-01-31 22:39:00.244 INFO  [8028] Logger 0 Initialized
2021-01-31 22:39:45.670 INFO  [8180] Logger 0 Initialized
2021-01-31 22:40:10.583 INFO  [704] Logger 0 Initialized
2021-01-31 22:40:24.484 INFO  [13416] Logger 0 Initialized
2021-01-31 22:40:29.729 INFO  [17600] Logger 0 Initialized
2021-01-31 22:40:51.443 INFO  [18488] Logger 0 Initialized
2021-01-31 22:40:53.873 INFO  [12780] Logger 0 Initialized
2021-01-31 22:40:55.338 INFO  [9936] Logger 0 Initialized
2021-01-31 22:41:39.933 INFO  [10520] Logger 0 Initialized
2021-01-31 22:41:42.846 INFO  [11424] Logger 0 Initialized
2021-01-31 22:41:44.408 INFO  [2920] Logger 0 Initialized
2021-01-31 22:41:45.960 INFO  [3876] Logger 0 Initialized
2021-01-31 22:42:16.071 INFO  [12488] Logger 0 Initialized
2021-01-31 22:42:17.788 INFO  [17152] Logger 0 Initialized
2021-01-31 22:42:19.436 INFO  [22516] Logger 0 Initialized
2021-01-31 22:42:21.188 INFO  [2584] Logger 0 Initialized
2021-01-31 22:42:22.707 INFO  [1664] Logger 0 Initialized
2021-01-31 22:42:23.986 INFO  [22084] Logger 0 Initialized
2021-01-31 22:44:06.137 INFO  [18540] Logger 0 Initialized
2021-01-31 22:44:08.793 INFO  [16908] Logger 0 Initialized
2021-01-31 22:44:26.214 INFO  [1928] Logger 0 Initialized
2021-01-31 22:44:28.525 INFO  [11248] Logger 0 Initialized
2021-01-31 22:44:30.977 INFO  [1480] Logger 0 Initialized
2021-01-31 22:45:13.450 INFO  [4804] Logger 0 Initialized
2021-01-31 22:45:33.992 INFO  [956] Logger 0 Initialized
2021-01-31 22:46:39.446 INFO  [6636] Logger 0 Initialized
2021-01-31 22:46:44.528 INFO  [2856] Logger 0 Initialized
2021-01-31 22:46:46.971 INFO  [5992] Logger 0 Initialized
2021-01-31 22:47:33.151 INFO  [2636] Logger 0 Initialized
2021-01-31 22:48:16.358 INFO  [18092] Logger 0 Initialized
2021-01-31 22:48:57.072 INFO  [2640] Logger 0 Initialized
2021-01-31 22:50:45.576 INFO  [15032] Logger 0 Initialized
2021-01-31 22:51:09.959 INFO  [20116] Logger 0 Initialized
2021-01-31 22:54:12.664 INFO  [11984] Logger 0 Initialized
2021-01-31 22:54:15.033 INFO  [11560] Logger 0 Initialized
2021-01-31 22:55:42.395 INFO  [10232] Logger 0 Initialized
2021-01-31 22:56:32.381 INFO  [14200] Logger 0 Initialized
2021-01-31 22:56:59.007 INFO  [9856] Logger 0 Initialized
2021-01-31 22:57:44.151 INFO  [15176] Logger 0 Initialized
2021-01-31 22:57:45.994 INFO  [8680] Logger 0 Initialized
2021-01-31 22:58:30.391 INFO  [16348] Logger 0 Initialized
2021-01-31 22:58:53.435 INFO  [2400] Logger 0 Initialized
2021-01-31 22:58:59.164 INFO  [1944] Logger 0 Initialized
2021-01-31 23:00:46.175 INFO  [1244] Logger 0 Initialized
2021-01-31 23:01:38.498 INFO  [20072] Logger 0 Initialized
2021-01-31 23:01:44.200 INFO  [20732] Logger 0 Initialized
2021-01-31 23:01:53.471 INFO  [22192] Logger 0 Initialized
2021-01-31 23:01:57.334 INFO  [3324] Logger 0 Initialized
2021-01-31 23:01:59.287 INFO  [10376] Logger 0 Initialized
2021-01-31 23:03:49.156 INFO  [10752] Logger 0 Initialized
2021-01-31 23:04:08.264 INFO  [12972] Logger 0 Initialized
2021-01-31 23:04:55.188 INFO  [20192] Logger 0 Initialized
2021-01-31 23:05:00.042 INFO  [20648] Logger 0 Initialized
2021-01-31 23:05:02.394 INFO  [17172] Logger 0 Initialized
2021-01-31 23:05:57.401 INFO  [3396] Logger 0 Initialized
2021-01-31 23:06:06.293 INFO  [18068] Logger 0 Initialized
2021-01-31 23:06:09.124 INFO  [23352] Logger 0 Initialized
2021-01-31 23:08:42.951 INFO  [18536] Logger 0 Initialized
2021-01-31 23:10:24.590 INFO  [8220] Logger 0 Initialized
2021-01-31 23:10:28.320 INFO  [18496] Logger 0 Initialized
2021-01-31 23:11:14.233 INFO  [14012] Logger 0 Initialized
2021-01-31 23:11:17.053 INFO  [3576] Logger 0 Initialized
2021-01-31 23:12:57.468 INFO  [22232] Logger 0 Initialized
2021-01-31 23:13:40.403 INFO  [11000] Logger 0 Initialized
2021-01-31 23:15:13.946 INFO  [12008] Logger 0 Initialized
2021-01-31 23:15:17.850 INFO  [23292] Logger 0 Initialized
2021-01-31 23:15:20.247 INFO  [23084] Logger 0 Initialized
2021-01-31 23:15:22.507 INFO  [11732] Logger 0 Initialized
2021-01-31 23:15:25.141 INFO  [21684] Logger 0 Initialized
2021-01-31 23:15:27.486 INFO  [23340] Logger 0 Initialized
2021-01-31 23:15:29.504 INFO  [23040] Logger 0 Initialized
2021-01-31 23:15:31.378 INFO  [6236] Logger 0 Initialized
2021-01-31 23:16:33.391 INFO  [22872] Logger 0 Initialized
2021-01-31 23:17:01.962 INFO  [19208] Logger 0 Initialized
2021-01-31 23:17:05.929 INFO  [14144] Logger 0 Initialized
2021-01-31 23:17:08.140 INFO  [2104] Logger 0 Initialized
2021-01-31 23:18:17.224 INFO  [11092] Logger 0 Initialized
2021-01-31 23:19:28.771 INFO  [14480] Logger 0 Initialized
2021-01-31 23:19:32.128 INFO  [7508] Logger 0 Initialized
2021-01-31 23:19:48.389 INFO  [22788] Logger 0 Initialized
2021-01-31 23:19:51.030 INFO  [19820] Logger 0 Initialized
2021-01-31 23:19:53.508 INFO  [4384] Logger 0 Initialized
2021-01-31 23:19:57.415 INFO  [9156] Logger 0 Initialized
2021-01-31 23:19:59.981 INFO  [12820] Logger 0 Initialized
2021-01-31 23:20:02.750 INFO  [16680] Logger 0 Initialized
2021-02-01 20:21:48.175 INFO  [22736] Logger 0 Initialized
2021-02-01 20:27:15.801 INFO  [23512] Logger 0 Initialized
2021-02-01 20:28:58.417 INFO  [15052] Logger 0 Initialized
2021-02-01 20:29:28.204 INFO  [2636] Logger 0 Initialized
2021-02-01 20:29:57.486 INFO  [21616] Logger 0 Initialized
2021-02-01 21:09:04.707 INFO  [23244] Logger 0 Initialized
2021-02-01 21:11:45.527 INFO  [7816] Logger 0 Initialized
2021-02-01 21:12:51.452 INFO  [12192] Logger 0 Initialized
2021-02-01 21:13:24.368 INFO  [2528] Logger 0 Initialized
2021-02-01 21:14:15.342 INFO  [15712] Logger 0 Initialized
2021-02-01 21:14:44.760 INFO  [10620] Logger 0 Initialized
2021-02-01 21:15:57.200 INFO  [2836] Logger 0 Initialized
2021-02-01 21:17:17.551 INFO  [21676] Logger 0 Initialized
2021-02-01 21:21:02.211 INFO  [18324] Logger 0 Initialized
2021-02-01 21:22:13.603 INFO  [12132] Logger 0 Initialized
2021-02-01 21:29:02.230 INFO  [21972] Logger 0 Initialized
2021-02-01 21:34:13.993 INFO  [19216] Logger 0 Initialized
2021-02-01 21:34:36.626 INFO  [18532] Logger 0 Initialized
2021-02-01 21:35:49.167 INFO  [2528] Logger 0 Initialized
2021-02-01 21:36:09.868 INFO  [15220] Logger 0 Initialized
2021-02-01 21:36:46.093 INFO  [11748] Logger 0 Initialized
2021-02-01 21:37:08.493 INFO  [20424] Logger 0 Initialized
2021-02-01 21:37:35.127 INFO  [10744] Logger 0 Initialized
2021-02-01 21:38:02.404 INFO  [17628] Logger 0 Initialized
